丢三落四|形容做事马虎粗心，不是丢了这个，就是忘了那个。
货而不售|想卖却卖不出去。货：卖。
槁项没齿|颈枯齿落。年老貌。
谈言微中|微中：微妙而又恰中要害。形容说话委婉而中肯。
修真养性|学道修行，涵养性情。
造言生事|捏造虚言以挑起事端。
屋下作屋|比喻机构或文章结构重叠。同“屋下架屋”。
求全之毁|毁：毁谤。一心想保全声誉，反而受到了毁谤。
鸥波萍迹|比喻闲适自由的隐者生活。
连枝并头|连理枝和并头莲。比喻美满的婚姻。
精卫填海|精卫：古代神话中的鸟名。精卫衔来木石，决心填平大海。旧时比喻仇恨极深，立志报复。后比喻意志坚决，不畏艰难。
苦身焦思|焦：焦急。形容人为某事忧心苦思。
日益月滋|一天天一月月地增添、加多。
刀耕火种|古时一种耕种方法，把地上的草烧成灰做肥料，就地挖坑下种。
书不释手|手里的书舍不得放下。形容勤学或看书入迷。
文籍先生|称熟悉文献典籍的人。
敕始毖终|自始至终警饬谨慎。
毫不介意|丝毫不往心里去。
卓尔不群|卓尔：特出的样子；不群：与众不同。指才德超出寻常，与众不同。
潜形谲迹|隐蔽形迹，不露真相。同“潜形匿迹”。
通风报讯|把对立双方中一方的机密暗中告诉另一方。同“通风报信”。
奇装异服|比一般人衣着式样特异的服装（多含贬义）。
束教管闻|指学识浅陋，见闻不广。
草创未就|草创：开始创办或创立；就：完成。刚开始做，尚未完成。
岂有是理|哪有这个道理。指别人的言行或某一事物极其荒谬。同“岂有此理”。
革旧图新|抛弃旧的事物，谋求新的途径。
上替下陵|指上下失序，纲纪废坠。陵，通“凌”。同“下陵上替”。
林栖谷隐|指在山林隐居。亦指隐居的人。
灰头土面|满头满脸沾满尘土的样子。也形容懊丧或消沉的神态。
闭门羹|拒绝客人进门叫做让客人吃闭门羹。
风华绝代|风华：风采才华；绝代：冠绝当世。意思是风采才华为当世第一。
拍案而起|一拍桌子猛地站起来。形容非常愤慨。
骑扬州鹤|比喻欲集做官、发财、成仙于一身，或形容贪婪、妄想。同“骑鹤上扬州”。
风餐露宿|风里吃饭，露天睡觉。形容旅途或野外工作的辛苦。
水到鱼行|比喻条件具备，事情就可办成。
跋前踬后|跋：踩；踬：被绊倒。本指狼向前进就踩住了自己的颈肉，向后退又会被自己的尾巴绊倒。比喻进退两难。
可歌可泣|泣：不出声地流泪。值得歌颂、赞美，使人感动流泪。形容英勇悲壮的感人事迹。
访亲问友|访：拜访；问：问候。指拜访亲朋好友。
风趣横生|形容十分幽默、诙谐。
美景良辰|良：美好；辰：时辰。美好的时光和景物。
大吉大利|非常吉祥、顺利。旧时用于占卜和祝福。
杳无信息|一直得不到一点消息。
马马虎虎|指还过得去。亦形容做事不认真，不仔细。
为非作恶|做种种坏事。同“为非作歹”。
啜英咀华|“啜”念chuò。比喻品赏、体味诗文的精华。
白首如新|指相交虽久而并不知己，像新知一样。同“白头如新”。
惊肉生髀|惊叹久处安逸，不能有所作为。
公私兼顾|公家和个人双方的利益都得到照顾。
通共有无|指互相接济；互通有无。
川渟岳峙|指水止不流，山高矗立。比喻人的凝重庄严。川，本作“渊”，因避唐高祖李渊讳改。
养兵千日|平时供养、训练军队，以便到关键时刻用兵打仗。指平时积畜力量，在必要时一下用出来。
韩潮苏海|指唐朝韩愈和宋朝苏轼的文章气势磅礴，如海如潮。
东扯西拽|谓事情互相纠缠。犹言拆东补西。
亡秦三户|指不畏强暴，奋起推翻黑暗统治之事。
粗茶淡饭|粗：粗糙、简单；淡饭：指饭菜简单。形容饮食简单，生活简朴。
弹冠结绶|朋友之间互相援引出仕。
宝珠市饼|拿珍珠换饼。比喻杜绝贪心。
一败如水|形容军队打了大败仗，象水泼到地上那样不可收拾。
陈谷子烂芝麻|比喻陈旧的无关紧要的话或事物。
如牛负重|象牛背着学生的东西一样。比喻生活负担极重。
八面莹澈|比喻精明练达，洞察一切。
一点灵犀|①指犀角上有纹，两头感应通灵，故比喻心心相印。②指聪敏。
号令如山|指军令严肃，不容更改。
买菜求益|比喻争多赚少。
卖剑买犊|原指放下武器，从事耕种。后比喻改业务农或坏人改恶从善。同“卖剑买牛”。
实至名归|实：实际的成就；至：达到；名：名誉；归：到来。有了真正的学识、本领或功业，自然就有声誉。
三徙成国|形容圣人到处都受到百姓的拥戴。同“三徙成都”。
敌惠敌怨|犹言报德报怨。
不经之说|指荒诞无稽、没有根据的话。
愁绪如麻|愁绪：忧愁的心绪。麻：乱麻。忧愁的思虑像乱麻一样。形容烦愁之极。
魂飞魄越|形容惊恐万分，极端害怕。同“魂飞魄散”。
其利断金|比喻只要两个人一条心，就能发挥很大的力量。
扛鼎抃牛|扛鼎：把鼎举起来。抃牛：把两头相斗的牛位开。能把鼎举起来，能把相斗的两头牛拉开。形容勇武有力，超越常人。
防患未然|患：灾祸；未然：没有这样，指尚未形成。防止事故或祸害于尚未发生之前。
累瓦结绳|比喻没有用的言词。
迎风冒雪|迎：对着，冲着。顶着寒风，冒着大雪。常形容旅途艰辛。
以肉啖虎|比喻白白地送死。同“以肉喂虎”。
遵而勿失|遵照先人的典章制度而不违失。
飞沙走石|沙土飞扬，石块滚动。形容风势狂暴。
痴儿呆女|指天真无知的少男少女。
闳中肆外|闳：博大；肆：奔放，淋漓尽致。指文章内容丰富，文笔又能尽量发挥。
胡服骑射|胡：古代指北方和西文的少数民族。指学习胡人的短打服饰，同时也学习他们的骑马、射箭等武艺。
目光如豆|眼光象豆子那样小。形容目光短浅，缺乏远见。
察己知人|指情理之中的事情，察度自己，就可知之别人。
家常便饭|指家中日常的饭食。也比喻常见的事情。
山高皇帝远|指王法管辖不到。
更深夜静|更：旧时夜间计时单位。一夜分五更，每更约两个小时。夜已很深，没有一点声响。形容夜深处于一片寂静之中。
睥睨一切|形容非常高傲，看不起任何人。
礼尚往来|尚：注重。指礼节上应该有来有往。现也指以同样的态度或做法回答对方。
纷乱如麻|麻：麻团。交错杂乱像一团乱麻。
黄口孺子|黄口：儿童；孺子：小孩子。常用以讥讽别人年幼无知。
胸有丘壑|丘：山丘；壑：山沟。指绘画、作文时，心中已把握到了深远的意境。也比喻对事物的判断处置自有高下。
百口难分|即使有一百张嘴也难分辩清楚。犹百口莫辩。
不肖子孙|不肖：不象，不贤。指品德差，没出息，不能继承先辈事业的子孙或晚辈。
空谈快意|快意：使内心感到痛快。信口开河地高谈阔论，却不付诸行动，只是为了口头痛快。
眼中钉|比喻心中最厌恶、最痛恨的人。
心急如火|心里急得象着了火一样。形容非常着急。
揎拳裸袖|犹言揎拳捋袖。
熊经鸟伸|古代一种导引养生之法。状如熊之攀枝，鸟之伸脚。同“熊经鸟申”。
三推六问|推：推究；问：审问。旧时指反复审训。
理不忘乱|国家得以平安治理的时候，不能忘记混乱的日子。
伶仃孤苦|伶仃：孤独，没有依靠。孤单困苦，没有依靠。
离鸾别鹄|比喻夫妻离散。同“离鸾别凤”。
流水行云|形容文章自然不受约束，就象漂浮着的云和流动着的水一样。
席不暇暖|席：坐席；暇：空闲。连席子还没有来得及坐热就起来了。原指东奔西走，不得安居。后形容很忙，多坐一会儿的时间都没有。
流水不腐，户枢不蝼|比喻经常运动的东西不易受侵蚀。同“流水不腐，户枢不蠹”。
欺大压小|欺骗强大的，压迫弱小的。
用逸待劳|以逸待劳。谓作战时采取守势，养精蓄锐，待敌军奔走疲惫之后，乘机出击以取胜。
鹤骨松姿|清奇不凡的气质。多指修道者的形貌。
矫言伪行|指言论、行为虚伪不实。
反经合义|虽违背常道，但仍合于义理。
对面鼓|比喻面对面地商量、对证或争论。
摇摇欲坠|摇摇：摇动，摇晃；坠：落下。形容十分危险，很快就要掉下来，或不稳固，很快就要垮台。
吃硬不吃软|好言好语不听从，态度一强硬，反使屈从了。形容人的外强中干，欺软怕硬。
指方画圆|指谈论时以手指比画。
项庄舞剑，意在沛公|项庄席间舞剑，企图刺杀刘邦。比喻说话和行动的真实意图别有所指。
英雄气短|指有才能的人因沉迷于爱情而丧失进取心。
眦裂发指|眼角裂开，头发上竖。形容愤怒到极点。
寝皮食肉|①形容仇恨之深。②借指勇武的行为或精神。
金鳷擘海|比喻诗文雄健有力，精深透彻。
岁序更新|旧的一年过去了，新的一年来到了。
意气风发|意气：意志和气概；风发：象风吹一样迅猛。形容精神振奋，气概豪迈。
垂暮之年|垂：将，快要；暮：晚，老年。快要到老年。
筚路褴褛|形容开创新事业的艰难。同“筚路蓝缕”。
无事生事|犹言无事生非。无缘无故找岔子，存心制造麻烦。
百喙如一|犹言众口一辞。许多人都说同样的话，看法或意见一致。
夜阑人静|夜阑：夜将尽。夜深人静的时候。
踔绝之能|踔绝：高超。高超的本领、才能。
铢两分寸|指极少的数量。
叫苦不迭|不迭：不停止。形容连声叫苦。
弃其馀鱼|比喻节欲知足。
避祸就福|避开凶险，趋向幸福。
枯骨之馀|指将死之人。
鹿死谁手|原比喻不知政权会落在谁的手里。现在也泛指在竞赛中不知谁会取得最后的胜利。
玉律金科|律：规章，法则；科：旧指法律条文。原形容法令条文的尽善尽美。现比喻必须遵守、不能变更的信条。
年逾古稀|指年龄已超过七十岁。
珠联玉映|本指一种天象。同“珠联璧合”。
回肠伤气|形容音乐、文章等缠绵悱恻，感人之极。
满目凄凉|所见的全是凄惨冷落的景象。
素车白马|旧时办丧事用的车马，后用作送葬的语词。
诲人不倦|诲：教导。教导人特别耐心，从不厌倦。
嘴直心快|性情直爽，有话就说。
将勤补拙|以勤奋弥补笨拙。
功高不赏|功：功勋，功业。赏：赏赐。功劳极大，无法赏赐。形容功劳之大。
鼠心狼肺|形容心肠阴险狠毒。
羝羊触藩|羝羊：公羊；触：抵撞；藩：篱笆。公羊的角缠在篱笆上，进退不得。比喻进退两难。
气冲霄汉|霄汉：指天空。形容魄力非常大。
根结盘据|形容基础牢固，势力强大。盘，通“磐”。
异地相逢|异地：他乡。在他乡相遇。
百兽率舞|各种野兽，相率起舞。旧指帝王修德，时代清平。
一碧万顷|形容青绿无际。
丰肌弱骨|丰润的肌肤，柔嫩的骨骼。形容女子或花朵娇嫩艳丽而有丰韵。
弹冠振衣|整洁衣冠。后多以比喻将欲出仕。
丹黄甲乙|指点校书籍，评定次第。
白手空拳|形容手中一无所有。
历井扪天|井：星宿名。手能触天，形容极高。
家破身亡|家庭毁灭，自身死亡。
琴心剑胆|比喻既有情致，又有胆识（旧小说多用来形容能文能武的才子）。
真情实意|真实的情意。
亥豕相望|指文字讹错很多。
深居简出|简：简省。原指野兽藏在深密的地方，很少出现。后指常呆在家里，很少出门。
锦绣江山|象锦绣那样的美好的江山。形容美好的国土。
养兵千日，用兵一时|平时供养、训练军队，以便到关键时刻用兵打仗。指平时积畜力量，在必要时一下用出来。
另谋高就|指另找一份职业，意即辞去原职。
触景伤怀|被眼前的景物所触动而引起伤感。
鼓舞人心|鼓舞：振作，奋发。振奋人们的信心。增强人们的勇气。
剑气箫心|犹剑胆琴心。比喻既有情致，又有胆识（旧小说多用来形容能文能武的才子）。
瞎子摸象|比喻对事物一知半解，不对全局作判断。
柔声下气|犹言低声下气。形容恭顺谦卑的样子。
笃而论之|笃：切实。确切地论述。
心惊肉战|形容担心灾祸临头，恐慌不安。同“心惊肉跳”。
冲冠眦裂|形容愤怒到极点。眦裂，睁裂眼眶。
谈笑封侯|说笑之间就封了侯爵。旧时形容获得功名十分容易。
九原可作|九原：春秋时晋国卿大夫的墓地在九原，因称墓地；作：起，兴起。设想死者再生。
长眠不起|死亡的别称。
窜端匿迹|比喻掩盖事情的真相。
呼不给吸|形容吓得来不及喘气。
方正不阿|方正：品行正直；阿：阿谀，诌媚。指为人品行正直，不逢迎诌媚。
高文大册|原指朝廷发布的重要文书，如诏今制诰等。引申为经典性著述。
一日万里|比喻行动非常迅速。
街谈巷说|大街小巷里人们的议论。指民间的舆论。同“街谈巷议”。
以貍至鼠|比喻事情不能成功。同“以貍饵鼠”。
五月粜新谷|五月里稻谷尚未熟，就预卖新谷。比喻十分贫穷。
积功兴业|指建立功业，实现抱负。
妙想天开|形容想法奇特、乖谬。
躬自菲薄|指亲身实行俭约。菲薄；微薄。
车辙马迹|指车马行过的痕迹。
潜光匿曜|隐藏光采。常指隐居。同“潜光隐耀”。
雪里送炭|比喻在别人急需时给以物质上或精神上的帮助。同“雪中送炭”。
三生有幸|三生：佛家指前生、今生、来生；幸：幸运。三世都很幸运。比喻非常幸运。
气逾霄汉|正气昂扬，直冲云天。形容魄力、勇气非常大。霄汉，云霄和银河。
家书抵万金|比喻家信的珍贵。
耸壑凌霄|出于幽谷，高入云霄。比喻成就比别人高。
矫情干誉|故违常情，以求美誉。
封刀挂剑|比喻运动员结束竞技生涯，不再参加正式比赛。
观往知来|认真研究过去，就能推测未来。
明明赫赫|形容光亮夺目，声势显赫。
傲慢不逊|逊：谦逊。态度高傲自大，对人不讲谦让。
笑面夜叉|比喻面带笑容而居心狠毒的人。
含糊其辞|话说得不清不楚，含含糊糊。形容有顾虑，不敢把话照直说出来。
枉己正人|枉：弯曲，不正；正：纠正。自己立脚不正，却要去纠正别人。
魂消胆丧|形容惊恐万分，极端害怕。同“魂飞魄散”。
长夜之饮|指通宵宴饮。
山复整妆|明月高悬，青山辉映，更为秀丽，如同重整妆饰。
持衡拥璇|比喻掌握国家政权。
三兽渡河|佛教以兔、马、象三兽渡河入水之深浅，喻小、中、大三乘证道之高下。后泛指修行。
狗口里生不出象牙|比喻坏人说不出好话。同“狗口里吐不出象牙”。
闭门造车|关起门来造车子。比喻脱离实际，只凭主观办事。
明媒正礼|犹言明媒正娶。旧指正式婚姻。
鬼哭天愁|形容悲惨凄凉。
金戈铁骑|比喻战争。也形容战士持枪驰马的雄姿。同“金戈铁马”。
半壁山河|指国土的一部或大部分。
冤天屈地|形容非常冤枉委屈。
包罗万象|包罗：包括；万象：宇宙间的一切景象，指各种事物。形容内容丰富，应有尽有。
祸福之门|指祸与福之所从出。
有眼不识泰山|虽有眼睛，却不认识泰山。比喻见闻太窄，认不出地位高或本领大的人。
事不关己|事情同自己没有关系。
以身试险|身：亲身，亲自；试：尝试。试着亲身去做触犯法律的事。指明知故犯。
存十一于千百|指亡多而存少。
款学寡闻|形容学问浅、见识少。
暗弱无断|愚昧软弱，没有决断。
柳圣花神|喻指风流女子。
五黄六月|指阴历五、六月间天气最炎热的时候。
比物假事|假借相类的事物，相进行比较归纳。
血光之灾|迷信指有被杀的灾祸，
独清独醒|独自清白，独自觉醒，不与世俗同流合污。
日暮途穷|暮：傍晚；途：路。天已晚了，路已走到了尽头。比喻处境十分困难，到了末日。也形容穷困到极点。
气吞牛斗|牛：牵牛星。斗：北斗星。牛斗泛指星空。形容气魄很大。
皇亲国戚|皇帝的亲戚。指极有权势的人。
分斤拨两|比喻过分计较。同“分斤掰两”。
一时三刻|指很短的时间。
摧锋陷阵|摧：击溃；锋：锋芒，引伸为精锐；陷：攻入。攻入并摧毁敌军的阵地。
严刑峻法|峻：严酷。严厉的刑罚和严峻的法令。
江东父老|江东：古指长江以南芜湖以下地区；父老：父兄辈人。泛指家乡的父兄长辈。
来历不明|来历：由来。人或事物的来历与经过不清楚。
玉昆金友|友、昆：指兄弟。对他人兄弟的美称。
不自满假|不自满，不自大。
加油添醋|为夸张或渲染的需要，在叙事或说话时增添原来没有的内容。同“加油加醋”。
学步邯郸|学步：学习走路。比喻机械地模仿，不但学不互别人的长处，反而会把自己原有的本事也丢掉。
惩前毖后|惩：警戒；毖：谨慎。指批判以前所犯的错误，吸取教训，使以后谨慎些，不致再犯。
大势所趋|大势：指整个局势。整个局势发展的趋向。
魄荡魂飞|形容惊恐万状。
千金一瓠|比喻物虽轻贱，关键时得其所用，却十分珍贵。
连日连夜|指日夜不停。
通时达务|指了解客观形势。
饿殍遍野|殍：人饿死后的尸体。到处是饿死的人。形容老百姓因饥饿而大量死亡的悲惨景象。
雪虐风饕|虐：暴虐；饕：贪残。又是刮风，又是下雪。形容天气非常寒冷。
死皮赖脸|形容厚着脸皮，胡搅蛮缠。
人去楼空|人已离去，楼中空空。比喻故地重游时睹物思人的感慨。
张灯结采|形容节日或有喜庆事情的景象。同“张灯结彩”。
敛手待毙|毙：死。捆起手来等死。比喻遇到困难不积极想办法，坐着等失败。
渊图远算|深谋远虑。
辞富居贫|辞：推辞，推却。原指拒绝厚禄，只受薄俸。现形容抛弃优厚待遇，甘于清贫的生活。
响答影随|如应声和答、形影相随。比喻两者紧密相连。
忧患余生|忧患：困苦患难；余生：大灾难后侥幸存活的生命。指饱经患难之后侥幸保全下来的生命。
拊背扼喉|掐着喉咙，捺住脊背。比喻控制要害，制敌死命。
问羊知马|比喻从旁推究，弄清楚事情真相。
文不加点|点：涂上一点，表示删去。文章一气呵成，无须修改。形容文思敏捷，写作技巧纯熟。
分门别类|分、别：分辨、区别；门：一般事物的分类；类：许多相似或相同事物的综合。把一些事物按照特性和特征分别归入各种门类。
过犹不及|过：过分；犹：象；不及：达不到。事情做得过头，就跟做得不够一样，都是不合适的。
一举千里|一飞就是一千里。比喻前程远大。
狂涛巨浪|比喻剧烈的社会运动。同“狂涛骇浪”。
轩盖如云|轩：古时供官员乘坐的一种便车；盖：车盖。旧时形容官员很多，也形容官员、士绅集会的盛况。
悬崖撒手|①比喻人至绝境，只能另作选择，义无反顾。②指在紧急关头，放下一切不管。
完名全节|指名节得以保全。
思之千里|见到时不拿过来，以后再想要就更难办了。
打鸭子上架|比喻强迫去做能力做不到的事。
怡颜悦色|犹和颜悦色。
羹藜唅糗|藜，野菜；唅，食也。泛指饮食粗劣。亦作“羹藜含糗”。
有隙可乘|指事情有漏洞可以利用。
